action,event_pk,rn,date,work_area,organization,survey,sampling_bout,site_id,source,project_specific_id,hakai_id,line_out_depth_range,collected,preserved,analyzed,acidified,volume,lab_technician,filter_portion,pre_weight_mg,post_weight_mg,filter_size_mm,filter_type,analyzing_lab,row_flag,quality_level,comments,quality_log
,335,1,2015-03-13,QUADRA,HAKAI,QOMA;QOMA1;QOMA2,1,QU24,M,,QF261,030,2015-03-13T16:00:01.000Z,2015-03-13T23:15:12.000Z,,,1480,Kate,1,132,,47,,,Collected,Raw,,1: QF333 is 25mm GFF
,335,2,2015-03-13,QUADRA,HAKAI,QOMA;QOMA1;QOMA2,1,QU24,M,,QF263,030,2015-03-13T16:00:01.000Z,2015-03-13T23:15:12.000Z,,,5500,Kate,1,131.9,,47,,,Collected,Raw,,1: QF333 is 25mm GFF
,335,3,2015-03-13,QUADRA,HAKAI,QOMA;QOMA1;QOMA2,1,QU24,M,,QF333,030,2015-03-13T16:00:01.000Z,2015-03-13T23:15:12.000Z,,,200,Kate,1,36.5,,25,,,Collected,Raw,,1: QF333 is 25mm GFF
,416,1,2015-03-18,QUADRA,HAKAI,QOMA;QOMA1;QOMA2,1,QU39,M,,QF453,030,2015-03-18T16:02:55.000Z,2015-03-18T16:02:14.000Z,,,5000,Kate;Katie;Rebecca,1,129.4,,47,,,Collected,Technicianm,,1: Bottom depth is 265 m2: Every sample taken today that says station QU24 is now QU39. QU39 is now more west of QU24 and will be our main station instead of QU24.3: Every sample taken today that says station QU24 is now QU39. QU39 is now more west of QU24 and will be our main station instead of QU24.;;Bottom depth is 265 m4: POMFA metadata QC'd by EM.
,416,2,2015-03-18,QUADRA,HAKAI,QOMA;QOMA1;QOMA2,1,QU39,M,,QF454,030,2015-03-18T16:02:55.000Z,2015-03-18T16:02:14.000Z,,,4700,Kate;Katie;Rebecca,1,133.5,,47,,,Collected,Technicianm,,1: Bottom depth is 265 m2: Every sample taken today that says station QU24 is now QU39. QU39 is now more west of QU24 and will be our main station instead of QU24.3: Every sample taken today that says station QU24 is now QU39. QU39 is now more west of QU24 and will be our main station instead of QU24.;;Bottom depth is 265 m4: POMFA metadata QC'd by EM.
,504,1,2015-03-24,QUADRA,HAKAI,QOMA1;QOMA2;QOMA,1,QU39,M,,QF452,030,2015-03-24T16:04:16.000Z,2015-03-24T18:19:25.000Z,,,300,Rebecca;Other,1,131.2,,47,,,Collected,Technicianm,,1: POMFA metadata QC'd by EM.
,504,2,2015-03-24,QUADRA,HAKAI,QOMA1;QOMA2;QOMA,1,QU39,M,,QF541,030,2015-03-24T16:04:16.000Z,2015-03-24T18:19:25.000Z,,,9100,Rebecca;Other,1,130.1,,47,,,Collected,Technicianm,,1: POMFA metadata QC'd by EM.
,531,1,2015-03-31,QUADRA,HAKAI,QOMA2;QOMA;QOMA1,1,QU39,M,,QF549,030,2015-03-31T15:57:34.000Z,2015-03-31T19:01:00.000Z,,,4900,Katie;Other,1,129.1,,47,,,Collected,Technicianm,,1: Ctd only dropped to 165m2: POMFA metadata QC'd by EM.
,531,2,2015-03-31,QUADRA,HAKAI,QOMA2;QOMA;QOMA1,1,QU39,M,,QF550,030,2015-03-31T15:57:34.000Z,2015-03-31T19:01:00.000Z,,,4900,Katie;Other,1,128.7,,47,,,Collected,Technicianm,,1: Ctd only dropped to 165m2: POMFA metadata QC'd by EM.
,614,1,2015-04-06,QUADRA,HAKAI,QOMA;QOMA1;QOMA2,1,QU39,M,,QF561,030,2015-04-06T15:44:21.000Z,2015-04-06T20:45:38.000Z,,,10000,Leo;Rebecca;Other,1,129.8,,47,,,Collected,Technicianm,,1: POMFA metadata QC'd by EM.
,762,1,2015-04-14,QUADRA,HAKAI,QOMA2;QOMA;QOMA1,1,QU39,M,,QF532,030,2015-04-14T15:33:48.000Z,2015-04-14T16:15:19.000Z,,,3000,Kate;Katie;Other,1,130.7,,47,,,Collected,Technicianm,,1: POMFA metadata QC'd by EM.
,762,2,2015-04-14,QUADRA,HAKAI,QOMA2;QOMA;QOMA1,1,QU39,M,,QF562,030,2015-04-14T15:33:48.000Z,2015-04-14T16:15:19.000Z,,,3500,Kate;Katie;Other,1,130.2,,47,,,Collected,Technicianm,,1: EM deleted old ID without the F; reuploaded the QF id2: POMFA metadata QC'd by EM.
,762,3,2015-04-14,QUADRA,HAKAI,QOMA2;QOMA;QOMA1,1,QU39,M,,QF563,030,2015-04-14T15:33:48.000Z,2015-04-14T16:15:19.000Z,,,3000,Kate;Katie;Other,1,129.9,,47,,,Collected,Technicianm,,1: EM deleted old ID without the F; reuploaded the QF id2: POMFA metadata QC'd by EM.
,890,1,2015-04-22,QUADRA,HAKAI,QOMA1;QOMA2;QOMA,1,QU39,M,,QF642,030,2015-04-22T15:24:33.000Z,2015-04-22T18:10:52.000Z,,,2500,Kate;Katie,1,134.6,,47,,,Collected,Technicianm,,1: POMFA metadata QC'd by EM.
,890,2,2015-04-22,QUADRA,HAKAI,QOMA1;QOMA2;QOMA,1,QU39,M,,QF643,030,2015-04-22T15:24:33.000Z,2015-04-22T18:10:52.000Z,,,2500,Kate;Katie,1,135.3,,47,,,Collected,Technicianm,,1: POMFA metadata QC'd by EM.
,890,3,2015-04-22,QUADRA,HAKAI,QOMA1;QOMA2;QOMA,1,QU39,M,,QF648,030,2015-04-22T15:24:33.000Z,2015-04-22T18:10:52.000Z,,,2500,Kate;Katie,1,132.6,,47,,,Collected,Technicianm,,1: POMFA metadata QC'd by EM.
,1077,1,2015-05-01,QUADRA,HAKAI,QOMA2;QOMA1,1,QU39,M,,QF766,030,2015-05-01T14:32:56.000Z,2015-05-01T14:32:59.000Z,,,4950,Kate;Katie;Other,1,133.3,,47,,,Collected,Technicianm,,1: EM deleted old ID without the F; reuploaded the QF id2: POMFA metadata QC'd by EM.
,1077,2,2015-05-01,QUADRA,HAKAI,QOMA2;QOMA1,1,QU39,M,,QF767,030,2015-05-01T14:32:56.000Z,2015-05-01T14:32:59.000Z,,,4000,Kate;Katie;Other,1,133.4,,47,,,Collected,Technicianm,,1: EM deleted old ID without the F; reuploaded the QF id2: POMFA metadata QC'd by EM.
,1134,1,2015-05-05,QUADRA,HAKAI,QOMA2;QOMA1,1,QU39,M,,QF768,030,2015-05-05T14:51:55.000Z,2015-05-05T17:20:46.000Z,,,3800,Other,1,133,,47,,,Collected,Technicianm,,1: EM deleted old ID wit a QX; reuploaded the QF id2: POMFA metadata QC'd by EM.
,1134,2,2015-05-05,QUADRA,HAKAI,QOMA2;QOMA1,1,QU39,M,,QF770,030,2015-05-05T14:51:55.000Z,2015-05-05T17:20:46.000Z,,,3000,Other,1,133,,47,,,Collected,Technicianm,,1: POMFA metadata QC'd by EM.
,1192,1,2015-05-13,QUADRA,HAKAI,QOMA2;QOMA1,1,QU39,M,,QF644,030,2015-05-13T14:24:01.000Z,2015-05-13T21:19:07.000Z,,,3000,Kate;Other,1,134.7,,47,,,Collected,Technicianm,,1: POMFA metadata QC'd by EM.
,1192,2,2015-05-13,QUADRA,HAKAI,QOMA2;QOMA1,1,QU39,M,,QF645,030,2015-05-13T14:24:01.000Z,2015-05-13T21:19:07.000Z,,,2000,Kate;Other,1,133.5,,47,,,Collected,Technicianm,,1: POMFA metadata QC'd by EM.
,1192,3,2015-05-13,QUADRA,HAKAI,QOMA2;QOMA1,1,QU39,M,,QF646,030,2015-05-13T14:24:01.000Z,2015-05-13T21:19:07.000Z,,,3000,Kate;Other,1,132,,47,,,Collected,Technicianm,,1: POMFA metadata QC'd by EM.
,1192,4,2015-05-13,QUADRA,HAKAI,QOMA2;QOMA1,1,QU39,M,,QF647,030,2015-05-13T14:24:01.000Z,2015-05-13T21:19:07.000Z,,,2000,Kate;Other,1,132.6,,47,,,Collected,Technicianm,,1: POMFA metadata QC'd by EM.
,1341,1,2015-05-21,QUADRA,HAKAI,QOMA;QOMA1;QOMA2,1,QU39,M,,QF769,030,2015-05-21T14:46:54.000Z,2015-05-21T18:46:55.000Z,,,2500,Katie;Rebecca;Other,1,133.5,,47,,,Collected,Technicianm,,1: POMFA metadata QC'd by EM.
,1341,2,2015-05-21,QUADRA,HAKAI,QOMA;QOMA1;QOMA2,1,QU39,M,,QF875,030,2015-05-21T14:46:54.000Z,2015-05-21T18:46:55.000Z,,,2000,Katie;Rebecca;Other,1,138.1,,47,,,Collected,Technicianm,,1: POMFA metadata QC'd by EM.
,1341,3,2015-05-21,QUADRA,HAKAI,QOMA;QOMA1;QOMA2,1,QU39,M,,QF876,030,2015-05-21T14:46:54.000Z,2015-05-21T18:46:55.000Z,,,3000,Katie;Rebecca;Other,1,136.5,,47,,,Collected,Technicianm,,1: POMFA metadata QC'd by EM.
,1341,4,2015-05-21,QUADRA,HAKAI,QOMA;QOMA1;QOMA2,1,QU39,M,,QF877,030,2015-05-21T14:46:54.000Z,2015-05-21T18:46:55.000Z,,,2000,Katie;Rebecca;Other,1,137.4,,47,,,Collected,Technicianm,,1: POMFA metadata QC'd by EM.
,1408,1,2015-05-26,QUADRA,HAKAI,QOMA2;QOMA1;QOMA,1,QU39,M,,QF736,030,2015-05-26T13:40:03.000Z,2015-05-26T20:38:37.000Z,,,2800,Kate,1,131.7,,47,,,Collected,Technicianm,,1: POMFA metadata QC'd by EM.2: Slb was only 900 ml in the sterivex.
,1408,2,2015-05-26,QUADRA,HAKAI,QOMA2;QOMA1;QOMA,1,QU39,M,,QF737,030,2015-05-26T13:40:03.000Z,2015-05-26T20:38:37.000Z,,,3000,Kate,1,132.1,,47,,,Collected,Technicianm,,1: POMFA metadata QC'd by EM.2: Slb was only 900 ml in the sterivex.
,1408,3,2015-05-26,QUADRA,HAKAI,QOMA2;QOMA1;QOMA,1,QU39,M,,QF882,030,2015-05-26T13:40:03.000Z,2015-05-26T20:38:37.000Z,,,3000,Kate,1,134.9,,47,,,Collected,Technicianm,,1: POMFA metadata QC'd by EM.2: Slb was only 900 ml in the sterivex.
,1545,1,2015-06-03,QUADRA,HAKAI,QOMA;QOMA2;QOMA1,1,QU39,M,,QF880,030,2015-06-03T14:10:05.000Z,2015-06-03T20:30:23.000Z,,,4000,Natalie;Rebecca;Other,1,135.2,,47,,,Collected,Technicianm,,1: POMFA metadata QC'd by EM.
,1545,2,2015-06-03,QUADRA,HAKAI,QOMA;QOMA2;QOMA1,1,QU39,M,,QF883,030,2015-06-03T14:10:05.000Z,2015-06-03T20:30:23.000Z,,,3800,Natalie;Rebecca;Other,1,235.4,,47,,,Collected,Technicianm,,1: POMFA metadata QC'd by EM.
,1733,1,2015-06-15,QUADRA,HAKAI,QOMA1;QOMA2;QOMA,1,QU39,M,,QF881,030,2015-06-15T13:51:34.000Z,2015-06-15T17:51:26.000Z,,,4000,Natalie;Rebecca,1,135.1,,47,,,Collected,Technicianm,,1: POMFA metadata QC'd by EM.
,1733,2,2015-06-15,QUADRA,HAKAI,QOMA1;QOMA2;QOMA,1,QU39,M,,QF947,030,2015-06-15T13:51:34.000Z,2015-06-15T17:51:26.000Z,,,4000,Natalie;Rebecca,1,131.9,,47,,,Collected,Technicianm,,1: POMFA metadata QC'd by EM.
,1733,3,2015-06-15,QUADRA,HAKAI,QOMA1;QOMA2;QOMA,1,QU39,M,,QF948,030,2015-06-15T13:51:34.000Z,2015-06-15T17:51:26.000Z,,,1900,Natalie;Rebecca,1,133.2,,47,,,Collected,Technicianm,,1: POMFA metadata QC'd by EM.
,1842,1,2015-06-24,QUADRA,HAKAI,QOMA2;QOMA1;QOMA,1,QU39,M,,QF949,030,2015-06-24T15:51:20.000Z,2015-06-24T19:37:20.000Z,,,3950,Kate;Rebecca,1,132.4,,47,,,Collected,Technicianm,,1: POMFA metadata QC'd by EM.
,1842,2,2015-06-24,QUADRA,HAKAI,QOMA2;QOMA1;QOMA,1,QU39,M,,QF950,030,2015-06-24T15:51:20.000Z,2015-06-24T19:37:20.000Z,,,3000,Kate;Rebecca,1,132,,47,,,Collected,Technicianm,,1: POMFA metadata QC'd by EM.
,1842,3,2015-06-24,QUADRA,HAKAI,QOMA2;QOMA1;QOMA,1,QU39,M,,QF955,030,2015-06-24T15:51:20.000Z,2015-06-24T19:37:20.000Z,,,3000,Kate;Rebecca,1,133.6,,47,,,Collected,Technicianm,,1: POMFA metadata QC'd by EM.
,2092,1,2015-06-30,QUADRA,HAKAI,QOMA2;QOMA1;QOMA,1,QU39,M,,QF1108,030,2015-06-30T14:17:18.000Z,2015-06-30T19:00:17.000Z,,,3000,Kate;Natalie,1,132.9,,47,,,Collected,Technicianm,,1: POMFA metadata QC'd by EM.
,2092,2,2015-06-30,QUADRA,HAKAI,QOMA2;QOMA1;QOMA,1,QU39,M,,QF1109,030,2015-06-30T14:17:18.000Z,2015-06-30T19:00:17.000Z,,,3000,Kate;Natalie,1,132.7,,47,,,Collected,Technicianm,,1: POMFA metadata QC'd by EM.
,2092,3,2015-06-30,QUADRA,HAKAI,QOMA2;QOMA1;QOMA,1,QU39,M,,QF1110,030,2015-06-30T14:17:18.000Z,2015-06-30T19:00:17.000Z,,,2750,Kate;Natalie,1,132.4,,47,,,Collected,Technicianm,,1: POMFA metadata QC'd by EM.
,2194,1,2015-07-07,QUADRA,HAKAI,QOMA2;QOMA;QOMA1,1,QU39,M,,QF1120,030,2015-07-07T13:47:54.000Z,2015-07-07T14:14:34.000Z,,,5000,Natalie;Rebecca,1,132,,47,,,Collected,Technicianm,,1: POMFA metadata QC'd by EM.
,2194,2,2015-07-07,QUADRA,HAKAI,QOMA2;QOMA;QOMA1,1,QU39,M,,QF1129,030,2015-07-07T13:47:54.000Z,2015-07-07T14:14:34.000Z,,,4900,Natalie;Rebecca,1,133.8,,47,,,Collected,Technicianm,,1: POMFA metadata QC'd by EM.
,2360,1,2015-07-22,QUADRA,HAKAI,QOMA;QOMA2;QOMA1,1,QU39,M,,QF1034,030,2015-07-22T17:05:15.000Z,2015-07-22T20:04:30.000Z,,,4000,Kate;Natalie;Rebecca,1,135.5,,47,,,Collected,Technicianm,,1: POMFA metadata QC'd by EM.
,2360,2,2015-07-22,QUADRA,HAKAI,QOMA;QOMA2;QOMA1,1,QU39,M,,QF1127,030,2015-07-22T17:05:15.000Z,2015-07-22T20:04:30.000Z,,,3000,Kate;Natalie;Rebecca,1,134,,47,,,Collected,Technicianm,,1: POMFA metadata QC'd by EM.
,2360,3,2015-07-22,QUADRA,HAKAI,QOMA;QOMA2;QOMA1,1,QU39,M,,QF1128,030,2015-07-22T17:05:15.000Z,2015-07-22T20:04:30.000Z,,,3000,Kate;Natalie;Rebecca,1,133,,47,,,Collected,Technicianm,,1: POMFA metadata QC'd by EM.
,2510,1,2015-07-28,QUADRA,HAKAI,QOMA1;QOMA2;QOMA,1,QU39,M,,QF1032,030,2015-07-28T16:49:30.000Z,2015-07-28T20:24:40.000Z,,,4800,Kate;Natalie;Rebecca,1,137.4,,47,,,Collected,Technicianm,,1: POMFA metadata QC'd by EM.
,2510,2,2015-07-28,QUADRA,HAKAI,QOMA1;QOMA2;QOMA,1,QU39,M,,QF1033,030,2015-07-28T16:49:30.000Z,2015-07-28T20:24:40.000Z,,,4800,Kate;Natalie;Rebecca,1,137.7,,47,,,Collected,Technicianm,,1: POMFA metadata QC'd by EM.
,2525,1,2015-08-05,QUADRA,HAKAI,QOMA1;QOMA2;QOMA,1,QU39,M,,QF1172,030,2015-08-05T14:30:36.000Z,2015-08-05T14:45:48.000Z,,,3000,Kate;Katie;Natalie;Rebecca,1,132.7,,47,,,Collected,Technicianm,,1: POMFA metadata QC'd by EM.
,2525,2,2015-08-05,QUADRA,HAKAI,QOMA1;QOMA2;QOMA,1,QU39,M,,QF1173,030,2015-08-05T14:30:36.000Z,2015-08-05T14:45:48.000Z,,,3000,Kate;Katie;Natalie;Rebecca,1,132.3,,47,,,Collected,Technicianm,,1: POMFA metadata QC'd by EM.
,2525,3,2015-08-05,QUADRA,HAKAI,QOMA1;QOMA2;QOMA,1,QU39,M,,QF1174,030,2015-08-05T14:30:36.000Z,2015-08-05T14:45:48.000Z,,,4000,Kate;Katie;Natalie;Rebecca,1,133.7,,47,,,Collected,Technicianm,,1: POMFA metadata QC'd by EM.
,2747,1,2015-08-12,QUADRA,HAKAI,QOMA;QOMA1;QOMA2,1,QU39,M,,QF1146,030,2015-08-12T16:41:45.000Z,2015-08-12T20:30:10.000Z,,,4800,Kate;Natalie;Rebecca,1,133.6,,47,,,Collected,Technicianm,,1: POMFA metadata QC'd by EM.
,2747,2,2015-08-12,QUADRA,HAKAI,QOMA;QOMA1;QOMA2,1,QU39,M,,QF1147,030,2015-08-12T16:41:45.000Z,2015-08-12T20:30:10.000Z,,,5000,Kate;Natalie;Rebecca,1,133,,47,,,Collected,Technicianm,,1: POMFA metadata QC'd by EM.
,2868,1,2015-08-20,QUADRA,HAKAI,QOMA2;QOMA;QOMA1,1,QU39,M,,QF1148,030,2015-08-20T15:22:40.000Z,2015-08-20T20:37:14.000Z,,,4500,Katie;Rebecca,1,133,,47,,,Collected,Technicianm,,1: POMFA metadata QC'd by EM.
,2868,2,2015-08-20,QUADRA,HAKAI,QOMA2;QOMA;QOMA1,1,QU39,M,,QF1175,030,2015-08-20T15:22:40.000Z,2015-08-20T20:37:14.000Z,,,5200,Katie;Rebecca,1,133.4,,47,,,Collected,Technicianm,,1: POMFA metadata QC'd by EM.
,2881,1,2015-08-25,QUADRA,HAKAI,QOMA;QOMA2;QOMA1,1,QU39,M,,QF1176,030,2015-08-25T17:11:08.000Z,2015-08-25T20:07:52.000Z,,,6900,Kate;Natalie,1,132.9,,47,,,Collected,Technicianm,,1: POMFA metadata QC'd by EM.
,2881,2,2015-08-25,QUADRA,HAKAI,QOMA;QOMA2;QOMA1,1,QU39,M,,QF1177,030,2015-08-25T17:11:08.000Z,2015-08-25T20:07:52.000Z,,,3000,Kate;Natalie,1,132.4,,47,,,Collected,Technicianm,,1: POMFA metadata QC'd by EM.
,3098,1,2015-09-02,QUADRA,HAKAI,QOMA2;QOMA1,1,QU39,M,,QF1132,030,2015-09-02T15:02:08.000Z,2015-09-02T21:32:25.000Z,,,5000,Kate;Leo;Rebecca;Kristi Inman,1,132.7,,47,,,Collected,Technicianm,,1: POM and HPLC were not collected at 0 meters.2: POMFA metadata QC'd by EM.
,3098,2,2015-09-02,QUADRA,HAKAI,QOMA2;QOMA1,1,QU39,M,,QF1198,030,2015-09-02T15:02:08.000Z,2015-09-02T21:32:25.000Z,,,4650,Kate;Leo;Rebecca;Kristi Inman,1,132.8,,47,,,Collected,Technicianm,,1: POM and HPLC were not collected at 0 meters.2: POMFA metadata QC'd by EM.
,3283,1,2015-09-09,QUADRA,HAKAI,QOMA;QOMA2;QOMA1,1,QU39,M,,QF1200,030,2015-09-09T16:26:51.000Z,2015-09-09T20:23:31.000Z,,,600,Kate;Katie;Rebecca,1,132.7,,47,,,Collected,Technicianm,,1: Chlorophyll was not collected at 10m. No PON/POC2: POMFA metadata QC'd by EM.
,3283,2,2015-09-09,QUADRA,HAKAI,QOMA;QOMA2;QOMA1,1,QU39,M,,QF1305,030,2015-09-09T16:26:51.000Z,2015-09-09T20:23:31.000Z,,,4000,Kate;Katie;Rebecca,1,135.2,,47,,,Collected,Technicianm,,1: Chlorophyll was not collected at 10m. No PON/POC2: POMFA metadata QC'd by EM.
,3303,1,2015-09-15,QUADRA,HAKAI,QOMA2;QOMA;QOMA1,1,QU39,M,,QF1286,030,2015-09-15T17:29:32.000Z,2015-09-15T16:58:52.000Z,,,6000,Kate;Katie;Rebecca;Emma,1,137.72,,47,,,Collected,Technicianm,,1: POMFA metadata QC'd by EM.
,3303,2,2015-09-15,QUADRA,HAKAI,QOMA2;QOMA;QOMA1,1,QU39,M,,QF1287,030,2015-09-15T17:29:32.000Z,2015-09-15T16:58:52.000Z,,,3800,Kate;Katie;Rebecca;Emma,1,137.43,,47,,,Collected,Technicianm,,1: POMFA metadata QC'd by EM.
,3594,1,2015-09-28,QUADRA,HAKAI,QOMA1;QOMA;QOMA2,1,QU39,M,,QF1203,030,2015-09-28T15:49:13.000Z,2015-09-28T17:25:57.000Z,,,9800,Katie;Rebecca;Emma,1,132.9,,47,,,Collected,Technicianm,,1: POMFA metadata QC'd by EM.
,3620,1,2015-10-06,QUADRA,HAKAI,QOMA1;QOMA2;QOMA,1,QU39,M,,QF1206,030,2015-10-06T16:00:44.000Z,2015-10-06T16:26:54.000Z,,,3340,Katie;Rebecca;Emma,1,133.23,,47,,,Collected,Technicianm,,1: Metadata checked by RW.2: POMFA metadata QC'd by EM.
,3620,2,2015-10-06,QUADRA,HAKAI,QOMA1;QOMA2;QOMA,1,QU39,M,,QF1288,030,2015-10-06T16:00:44.000Z,2015-10-06T16:26:54.000Z,,,6000,Katie;Rebecca;Emma,1,138.61,,47,,,Collected,Technicianm,,1: Metadata checked by RW.2: POMFA metadata QC'd by EM.
,16817,1,2015-11-03,QUADRA,HAKAI,QRAFT1;QOMA1;QOMA2;QOMA,1,QU39,M,,QF1205,030,2015-11-03T18:10:18.000Z,2015-11-03T22:32:54.000Z,,,9600,Katie;Emma,1,133.9,,47,,,Collected,Technicianm,,1: Metadata checked by RW.2: POMFA metadata QC'd by EM.
,16935,1,2015-12-11,QUADRA,HAKAI,QOMA1;QOMA;QOMA2,1,QU39,M,,QF1387,030,2015-12-11T18:37:24.000Z,2015-12-11T19:32:03.000Z,,,9900,Katie;Rebecca,1,136.67,,47,,,Collected,Technicianm,,1: POMFA metadata QC'd by EM.2: Sample missing from Marine Lab. Found it in the -80 freezer. Added it to the data set. Metadata checked by RW.
,30248,1,2016-01-05,QUADRA,HAKAI,QOMA1;QOMA;QRAFT1;QOMA2,1,QU39,M,,QF1453,030,2016-01-05T19:10:05.000Z,2016-01-05T19:34:42.000Z,,,10000,Katie;Rebecca;Emma,1,133.2,,47,,,Collected,Technicianm,,1: Metadata checked by RW.
,30471,1,2016-02-02,QUADRA,HAKAI,QOMA1;QOMA;QOMA2,1,QU39,M,,QF1603,030,2016-02-02T17:29:32.000Z,2016-02-02T20:48:34.000Z,,,9750,Bryn;Katie;Rebecca;Emma,1,134.9,,47,,,Collected,Technicianm,,1: Metadata checked by RW.
,32476,1,2016-02-09,QUADRA,HAKAI,QOMA;QOMA2;QOMA1,1,QU39,M,,QF1391,030,2016-02-09T18:45:41.000Z,2016-02-09T20:26:46.000Z,,,10220,Katie;Rebecca;Emma,1,137.87,,47,,,Collected,Technicianm,,1: Collected CO2 samples. Split niskins into two drops. 100m niskin broke; collected with shallow samples (5;10;30 meter niskins). PP collection late. Water collection bracketed by ctd drops (one before first drop; and one after last drop).2: Metadata checked by RW.
,44391,1,2016-02-16,QUADRA,HAKAI,QOMA2;QOMA,1,QU39,M,,QF1602,030,2016-02-16T18:31:54.000Z,2016-02-16T23:16:41.000Z,,,9750,Katie;Rebecca;Emma,1,134.1,,47,,,Collected,Technicianm,,1: Metadata checked by RW.
,50335,1,2016-02-23,QUADRA,HAKAI,QOMA;QOMA1;QOMA2,1,QU39,M,,QF1930,030,2016-02-23T19:04:02.000Z,2016-02-23T20:04:08.000Z,,,10000,Bryn;Kate,1,35.3,,25,,,Collected,Technicianm,,1: CO2 samples taken2: Metadata checked by RW.
,64868,1,2016-03-15,QUADRA,HAKAI,QOMA1;QOMA;QOMA2,1,QU39,M,,QF1601,030,2016-03-15T16:24:07.000Z,2016-03-15T18:52:12.000Z,,,10000,Kate;Katie;Rebecca,1,133.9,,47,,,Collected,Technicianm,,1: Metadata checked by RW.
,65094,1,2016-03-22,QUADRA,HAKAI,QOMA1;QOMA;QOMA2;QRAFT1,1,QU39,M,,QF1652,030,2016-03-22T16:37:07.000Z,2016-03-22T21:05:46.000Z,,,10000,Kate;Katie;Rebecca,1,133.9,,47,,,Collected,Technicianm,,1: Metadata checked by RW.
